sample_id,pool,hive_id,apiary_id,type,lat,lon,region
VAR362,p2,HIV031,API010,c,39.52322,-122.22981,CA-N
VAR364,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR365,p5,HIV041,API013,s,37.33347,-122.17572,CA-B
VAR368,p3,HIV047,API015,s,44.5594,-123.28892,OR-MWV
VAR369,p3,HIV049,API015,s,44.5594,-123.28892,OR-MWV
VAR370,p1,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR371,p4,HIV098,API029,m,47.15633,-114.0405,MT-W
VAR373,p4,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR374,p5,HIV081,API025,s,46.91027,-113.95805,MT-W
VAR375,p3,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR376,p4,HIV087,API027,m,47.29002,-114.03374,MT-W
VAR378,p3,HIV096,API029,m,47.15633,-114.0405,MT-W
